<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.02.25	00:00:00	2952.68	2953.35	2945.23	2949.53	17711	0	8
2025.02.25	04:00:00	2949.47	2952.19	2935.12	2937.90	26122	0	8
2025.02.25	08:00:00	2937.85	2942.37	2929.53	2938.90	32878	0	8
2025.02.25	12:00:00	2938.92	2941.54	2923.95	2937.36	42631	0	8
2025.02.25	16:00:00	2937.31	2944.83	2888.24	2907.61	82841	0	8
2025.02.25	20:00:00	2907.59	2917.29	2905.37	2915.43	32121	0	8
2025.02.26	00:00:00	2915.55	2930.07	2913.51	2917.73	19412	0	8
2025.02.26	04:00:00	2917.74	2923.08	2912.62	2915.33	22441	0	8
2025.02.26	08:00:00	2915.31	2919.00	2905.80	2913.15	31213	0	8
2025.02.26	12:00:00	2913.16	2916.79	2905.47	2905.90	29472	0	8
2025.02.26	16:00:00	2905.88	2916.72	2890.83	2913.74	60744	0	8
2025.02.26	20:00:00	2913.71	2918.69	2912.02	2916.47	22816	0	8
2025.02.27	00:00:00	2915.53	2920.74	2911.19	2912.58	13746	0	8
2025.02.27	04:00:00	2912.58	2914.82	2888.58	2890.87	31426	0	8
2025.02.27	08:00:00	2890.92	2898.37	2877.12	2887.32	45426	0	8
2025.02.27	12:00:00	2887.32	2894.97	2881.03	2889.03	43443	0	8
2025.02.27	16:00:00	2888.99	2892.36	2867.80	2883.20	62953	0	8
2025.02.27	20:00:00	2883.17	2887.63	2871.19	2877.05	30112	0	8
2025.02.28	00:00:00	2876.57	2885.02	2873.84	2874.74	16741	0	8
2025.02.28	04:00:00	2874.68	2877.81	2856.87	2864.10	35136	0	8
2025.02.28	08:00:00	2864.13	2866.59	2851.02	2862.42	33412	0	8
2025.02.28	12:00:00	2862.34	2864.93	2848.30	2848.52	36271	0	8
2025.02.28	16:00:00	2848.58	2853.95	2832.61	2845.06	65726	0	8
2025.02.28	20:00:00	2845.06	2859.31	2837.98	2859.18	32041	0	8
2025.03.03	00:00:00	2873.37	2876.92	2864.11	2870.86	22143	0	8
2025.03.03	04:00:00	2870.86	2871.95	2859.27	2863.81	25657	0	8
2025.03.03	08:00:00	2863.81	2871.51	2858.88	2867.51	29114	0	8
